"","participant_id","sessions","lapse","alpha","beta","id","trials","alpha_obs_power","beta_obs_power","resp","X","Estimatedthreshold","Estimatedslope","q5_threshold","q95_threshold","q5_slope","q95_slope","iter","real_effectsize_alpha","real_effectsize_beta","subjects","observed_effectsize_alpha","observed_effectsize_beta"
"1",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,1,-0.5,5.55111512312578e-17,12.55,47.5,-48.5,24.3,0.7,42,0,0,40,0.189957266048207,0.0599906871167967
"2",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,1,-23.5,-23.2454225448709,12.5505534751657,16.5,-49.5,24.3,0.7,42,0,0,40,0.189957266048207,0.0599906871167967
"3",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,0,-34.5,-34.8299350777774,12.2457263802054,-9.5,-50.5,24.3,0.6,42,0,0,40,0.189957266048207,0.0599906871167967
"4",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,0,-28.5,-28.230227285634,12.8987484307004,-3.5,-48.5,24.3,0.7,42,0,0,40,0.189957266048207,0.0599906871167967
"5",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,0,-19.5,-22.7563400760111,13.1336715008912,1.5,-43.5,24.4,0.8,42,0,0,40,0.189957266048207,0.0599906871167967
"6",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,0,-11.5,-15.9586347122643,15.4600996402293,8.5,-36.5,24.5,3.6,42,0,0,40,0.189957266048207,0.0599906871167967
"7",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,1,-5.5,-9.25274755497803,16.7942789611868,16.5,-29.5,24.6,4.5,42,0,0,40,0.189957266048207,0.0599906871167967
"8",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,1,-11.5,-13.4617955916293,16.235024827619,5.5,-31.5,24.6,4.7,42,0,0,40,0.189957266048207,0.0599906871167967
"9",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,0,-23.5,-16.754688538298,16.0370763629545,-0.5,-34.5,24.5,5.5,42,0,0,40,0.189957266048207,0.0599906871167967
"10",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,0,-5.5,-14.7019667976217,15.5218720787189,1.5,-30.5,24.5,5,42,0,0,40,0.189957266048207,0.0599906871167967
"11",1,1,0.00560682088397496,-14.201394296596,9.94379430355036,1,100,0.189957266048207,0.0599906871167967,1,-0.5,-10.565871856226,17.3423607515987,5.5,-26.5,24.6,7.3,42,0,0,40,0.189957266048207,0.0599906871167967
