"","X","prob","resp","trials","real_lambda_con","real_alpha_con","real_beta_con","real_lambda_uncon","real_alpha_uncon","real_beta_uncon","id","subs","model","simulated_alpha","simulated_beta","simulated_lapse"
"1",-8.2442061754,0.733314502202687,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"2",-11.8283969077,0.149906319556131,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"3",-2.671667206,0.99756833266621,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"4",-10.7568859588,0.294067505135903,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"5",-21.10814,0.00178909566215484,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"6",1.8383,0.99821089314981,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"7",-13.39762,0.0398183947166432,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"8",-9.2172,0.568311932085404,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"9",-12.15871,0.117235685191959,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"10",-14.37462,0.0147175980616014,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"11",-9.74073,0.471844682082868,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"12",-15.79557,0.00371997471964464,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"13",-8.80746,0.641319845833247,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"14",-15.01984,0.0075177688069824,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"15",-8.81332,0.640304731167774,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"16",-13.75252,0.0280364837908065,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"17",-12.70104,0.0752957325788729,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"18",-9.55604,0.505980596809416,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"19",-11.06062,0.247575038508432,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"20",-10.62152,0.316023844079333,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"21",-7.57228,0.824726178283553,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"22",4.45196,0.998210945777926,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"23",-9.1442,0.581572454790527,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"24",-8.31129,0.723012382973898,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"25",-9.12111,0.585748159541452,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"26",-7.79462,0.796963586481929,0,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"27",-6.26415,0.937462201542929,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
"28",-10.06424,0.412699500489788,1,100,0.00178905418990021,-9.5883762723734,2.14922741176356,-5.62933647862427,-9.5883762723734,0.765108434194485,-1794.77761089569,1,"normal",-10,1,-6
