"","session","alpha","beta","betart","lapse","intercept","sigma","ndt","participant_id","sessions","trials","alpha_obs_power","beta_obs_power","n","rts","resp","X","iter","real_effectsize_alpha","real_effectsize_beta","subjects","parameter","observed_effectsize_alpha","observed_effectsize_beta"
"1","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.32167753779672,1,-8.76567531948,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"2","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,3.49404548883556,1,-12.1721855953,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"3","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,4.4927091834868,1,-15.1104444617,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"4","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,3.06650007085332,0,-24.602435007,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"5","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.64866418948883,1,40.8051,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"6","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.72684559801013,1,-17.00699,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"7","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.82037763455163,1,-19.0088,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"8","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.41631150831773,0,-40.7899,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"9","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.1929692546098,0,-27.48073,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"10","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.64096006003336,0,-27.75559,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"11","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.74810104018472,1,-22.77718,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"12","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,4.36470743609242,0,-23.64159,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"13","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,3.24053814970151,1,-33.34824,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"14","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.68048481632631,1,-20.99483,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"15","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,1.99298025105386,0,-35.7461,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"16","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.91674536571551,0,-19.90408,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"17","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.75498340148563,1,-13.76064,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"18","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,5.07807410583529,0,-26.12743,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"19","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.32203714131789,0,-21.49526,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"20","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.48906668515893,0,-20.51476,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"21","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.89273779690241,0,-22.25704,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"22","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.17327594086841,0,-25.69279,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
"23","session1",-23.7949059570524,8.43142792193705,2.96119011240842,8.87310676425938e-05,-0.0386600495573935,0.615578826661132,0.8366826853045,1,1,40,0.442697297510536,0.589526138847965,1,2.28228383238359,1,-21.30095,5818,0.4,0,8,"both",0.442697297510536,0.589526138847965
